;row_type;node_name_start;node_id_start;node_id_end;node_name_end;X_start;X_end;Y_start;Y_end;startKind;startValue;startT;endKind;endValue;endT;startIsSource;startIsOutlet;endIsSource;endIsOutlet;altitude_start;altitude_end;L;d;s;uphillM;effectiveD;intD;roughness;perforation;pumpDepth;model;frequency;productivity;predict_mode;shtr_debit;K_pump;VolumeWater;choke_diam;Gas_factor_m3_m3;Oildensity_kg_m3;Waterdensity_kg_m3;Formation_pressure_bar
0;pipe;уз. в к4;уз. в к4;к.4;к.4;439955.098206622;440009.875648599;6551657.79159076;6551718.3849489;;;20;;;;0.0;0.0;;False;90.0;;210;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
1;injection_well;к.2;к.2;к.2__скв.47;к.2__скв.47;437900.82;437900.82;6547270.63;6547270.63;;;;Q;3.8229166667000003;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;5;;826;1015;66.7
2;pipe;т.вр. в к16;т.вр. в к16;уз.в к17;уз.в к17;443455.73;443750.3;6554438.65;6555182.86;;;20;;;20;0.0;0.0;0.0;False;76.8;71.0;850;0.219;0.018000000000000002;;0.46;0.219;1e-05;;;;;;;;;;;;826;1015;66.7
3;injection_well;к.38;к.38;к.38__скв.440;к.38__скв.440;439007.41;439007.41;6542717.22;6542717.22;;;;Q;0.42708333330000003;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;4.3333333333;;826;1015;66.7
4;pipe;уз. в к27;уз. в к27;к.27;к.27;444124.969261252;445689.07;6552687.34763735;6551811.93;;;20;;;;0.0;0.0;;False;75.3;;2292;0.114;0.011;;0.46;0.114;1e-05;;;;;;;;;;;;826;1015;66.7
5;injection_well;к.3;к.3;к.3__скв.57;к.3__скв.57;440294.71;440294.71;6548535.3;6548535.3;;;;Q;0.9375;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
6;pipe;уз.2 водовод;уз.2 водовод;уз. в к1;уз. в к1;440545.410704217;439822.710824675;6546661.04329544;6546130.66132836;;;20;;;20;0.0;0.0;0.0;False;82.0;84.8;1161;0.273;0.02;;0.46;0.273;1e-05;;;;;;;;;;;;826;1015;66.7
7;pipe;уз.в к23;уз.в к23;к.23б;к.23б;436762.374817286;436781.68;6545527.75246428;6545404.95;;;20;;;;0.0;0.0;;False;70.3;;154;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
8;pipe;т.вр. в к4 в/в;т.вр. в к4 в/в;уз. в к4;уз. в к4;440289.531121388;439955.098206622;6551316.96505435;6551657.79159076;;;20;;;20;0.0;0.0;0.0;False;91.0;90.0;584;0.219;0.018000000000000002;;0.46;0.219;1e-05;;;;;;;;;;;;826;1015;66.7
9;pipe;уз. в к12;уз. в к12;к.12;к.12;437713.23539982;437701.59;6550225.12818923;6550241.15;;;20;;;;0.0;0.0;;False;96.0;;18;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
10;pipe;уз. в к18;уз. в к18;к.118;к.118;440065.86;440114.25;6554698.07;6554995.97;;;20;;;;0.0;0.0;;False;88.0;;348;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
11;injection_well;к.4;к.4;к.4__скв.464;к.4__скв.464;440009.875648599;440009.875648599;6551718.3849489;6551718.3849489;;;;Q;0.8784722222;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
12;pipe;уз.в к28,29;уз.в к28,29;к.29;к.29;442124.367577841;442419.25250814;6545406.07956237;6543927.99863549;;;20;;;;0.0;0.0;;False;62.0;;1534;0.114;0.011;;0.46;0.114;1e-05;;;;;;;;;;;;826;1015;66.7
13;injection_well;к.3;к.3;к.3__скв.33;к.3__скв.33;440294.71;440294.71;6548535.3;6548535.3;;;;Q;4.7268518519;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;7;;826;1015;66.7
14;injection_well;к.23б;к.23б;к.23б__скв.504;к.23б__скв.504;436781.68;436781.68;6545404.95;6545404.95;;;;Q;1.9189814815;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;5;;826;1015;66.7
15;pipe;т.вр. в к13;т.вр. в к13;уз. в к13;уз. в к13;442645.974755974;442190.044377435;6552537.35535135;6552776.39314528;;;20;;;20;0.0;0.0;0.0;False;84.0;88.2;577;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
16;injection_well;к.27;к.27;к.27__скв.651;к.27__скв.651;445689.07;445689.07;6551811.93;6551811.93;;;;Q;0;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;;;826;1015;66.7
17;injection_well;к.23б;к.23б;к.23б__скв.488;к.23б__скв.488;436781.68;436781.68;6545404.95;6545404.95;;;;Q;0.3310185185;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
18;pipe;КНС-1 Тайлаковская;КНС-1 Тайлаковская;КНС-1 (23в);КНС-1 (23в);441550.236489935;441520.64;6546637.55635533;6546651.03;P;;20;;;20;1.0;;0.0;False;86.9;87.0;25;0.273;0.02;;0.46;0.273;1e-05;;;;;;;;;;;;826;1015;66.7
19;injection_well;к.17;к.17;к.17__скв.413;к.17__скв.413;445738.33;445738.33;6555101.4;6555101.4;;;;Q;0.3715277778;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
20;pipe;т.вр. в к12;т.вр. в к12;т.вр.к.95;т.вр.к.95;440502.560230552;438233.369284347;6548316.5256588;6549293.39707852;;;20;;;20;0.0;0.0;0.0;False;88.4;92.0;2485;0.219;0.018000000000000002;;0.46;0.219;1e-05;;;;;;;;;;;;826;1015;66.7
21;pipe;т.вр.к.95;т.вр.к.95;к.95;к.95;438233.369284347;435050.401304839;6549293.39707852;6549382.47864749;;;20;;;;0.0;0.0;;False;92.0;;4380;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
22;pipe;уз.2 водовод;уз.2 водовод;т.вр. в к12;т.вр. в к12;440545.410704217;440502.560230552;6546661.04329544;6548316.5256588;;;20;;;20;0.0;0.0;0.0;False;82.0;88.4;1650;0.273;0.02;;0.46;0.273;1e-05;;;;;;;;;;;;826;1015;66.7
23;injection_well;к.25;к.25;к.25__скв.641;к.25__скв.641;441032.833356061;441032.833356061;6544877.67526717;6544877.67526717;;;;Q;0.8402777778;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
24;injection_well;к.23б;к.23б;к.23б__скв.499;к.23б__скв.499;436781.68;436781.68;6545404.95;6545404.95;;;;Q;0;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
25;injection_well;к.29;к.29;к.29__скв.650;к.29__скв.650;442419.25250814;442419.25250814;6543927.99863549;6543927.99863549;;;;Q;0.7222222222;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
26;injection_well;к.64;к.64;к.64__скв.3822;к.64__скв.3822;436231.931071926;436231.931071926;6542395.83257822;6542395.83257822;;;;Q;0;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
27;injection_well;к.4;к.4;к.4__скв.7;к.4__скв.7;440009.875648599;440009.875648599;6551718.3849489;6551718.3849489;;;;Q;1.9375;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
28;injection_well;к.3;к.3;к.3__скв.35;к.3__скв.35;440294.71;440294.71;6548535.3;6548535.3;;;;Q;0.7430555556;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
29;pipe;т.вр. в к22;т.вр. в к22;уз.вр.к.21;уз.вр.к.21;441527.403619115;442131.887695564;6547110.1113405;6550048.48204063;;;20;;;20;0.0;0.0;0.0;False;84.5;87.5;3000;0.273;0.02;;0.46;0.273;1e-05;;;;;;;;;;;;826;1015;66.7
30;pipe;т.вр. в к27, к24;т.вр. в к27, к24;т.вр. в к18 в/в;т.вр. в к18 в/в;442927.825855269;443258.42;6553262.22342785;6553977.94;;;20;;;20;0.0;0.0;0.0;False;73.6;74.2;825;0.273;0.02;;0.46;0.273;1e-05;;;;;;;;;;;;826;1015;66.7
31;injection_well;к.118;к.118;к.118__скв.681;к.118__скв.681;440114.25;440114.25;6554995.97;6554995.97;;;;Q;2.537037037;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
32;pipe;уз.в к17;уз.в к17;к.30;к.30;443750.3;446283.29;6555182.86;6561199.87;;;20;;;;0.0;0.0;;False;71.0;;6879;0.114;0.011;;0.46;0.114;1e-05;;;;;;;;;;;;826;1015;66.7
33;injection_well;к.30;к.30;к.30__скв.3708;к.30__скв.3708;446283.29;446283.29;6561199.87;6561199.87;;;;Q;0.7233796296;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
34;injection_well;к.2;к.2;к.2__скв.55;к.2__скв.55;437900.82;437900.82;6547270.63;6547270.63;;;;Q;5.6388888889;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;9;;826;1015;66.7
35;pipe;т.вр. в к16;т.вр. в к16;уз. в к16;уз. в к16;443455.73;443211.74;6554438.65;6554521.93;;;20;;;20;0.0;0.0;0.0;False;76.8;75.0;362.7;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
36;pipe;т.вр. в к13;т.вр. в к13;т.вр. в к27, к24;т.вр. в к27, к24;442645.974755974;442927.825855269;6552537.35535135;6553262.22342785;;;20;;;20;0.0;0.0;0.0;False;84.0;73.6;780;0.273;0.02;;0.46;0.273;1e-05;;;;;;;;;;;;826;1015;66.7
37;injection_well;к.12;к.12;к.12__скв.29;к.12__скв.29;437701.59;437701.59;6550241.15;6550241.15;;;;Q;1.8518518519;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
38;pipe;т.вр. в к3;т.вр. в к3;к.3;к.3;440352.655068217;440294.71;6548656.14825052;6548535.3;;;20;;;;0.0;0.0;;False;90.0;;116;0.114;0.011;;0.46;0.114;1e-05;;;;;;;;;;;;826;1015;66.7
39;injection_well;к.1;к.1;к.1__скв.86;к.1__скв.86;439823.23;439823.23;6546342.02;6546342.02;;;;Q;0.4571759259;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;7;;826;1015;66.7
40;pipe;т.вр. в к22;т.вр. в к22;уз.в к22;уз.в к22;441527.403619115;442299.403951071;6547110.1113405;6547104.30362492;;;20;;;20;0.0;0.0;0.0;False;84.5;86.0;1012.3;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
41;injection_well;к.1;к.1;к.1__скв.72;к.1__скв.72;439823.23;439823.23;6546342.02;6546342.02;;;;Q;0.7476851852;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
42;pipe;уз. в к2;уз. в к2;уз.1;уз.1;437727.199963987;437832.7;6547029.40376245;6547176.72;;;20;;;20;0.0;0.0;0.0;False;83.0;86.08;30;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
43;pipe;уз. в к4;уз. в к4;к.4;к.4;439955.098206622;440009.875648599;6551657.79159076;6551718.3849489;;;20;;;;0.0;0.0;;False;90.0;;140;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
44;pipe;уз.вр.к.21;уз.вр.к.21;т.вр. в к13;т.вр. в к13;442131.887695564;442645.974755974;6550048.48204063;6552537.35535135;;;20;;;20;0.0;0.0;0.0;False;87.5;84.0;3079;0.273;0.02;;0.46;0.273;1e-05;;;;;;;;;;;;826;1015;66.7
45;injection_well;к.22;к.22;к.22__скв.632;к.22__скв.632;442344.75;442344.75;6547154.86;6547154.86;;;;Q;0;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;;;826;1015;66.7
46;injection_well;к.122;к.122;к.122__скв.553;к.122__скв.553;442533.76;442533.76;6547346.62;6547346.62;;;;Q;0.0219907407;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;6;;826;1015;66.7
47;injection_well;к.64;к.64;к.64__скв.3828;к.64__скв.3828;436231.931071926;436231.931071926;6542395.83257822;6542395.83257822;;;;Q;3.3935185185;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
48;pipe;уз.в к22;уз.в к22;к.22;к.22;442299.403951071;442344.75;6547104.30362492;6547154.86;;;20;;;;0.0;0.0;;False;86.0;;133;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
49;pipe;т.вр. в к4 в/в;т.вр. в к4 в/в;вр.к.14 в/в;вр.к.14 в/в;440289.531121388;438149.356444797;6551316.96505435;6552632.504655;;;20;;;20;0.0;0.0;0.0;False;91.0;82.0;2701;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
50;injection_well;к.38;к.38;к.38__скв.426;к.38__скв.426;439007.41;439007.41;6542717.22;6542717.22;;;;Q;0;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;;;826;1015;66.7
51;pipe;уз.1;уз.1;к.2;к.2;437832.7;437900.82;6547176.72;6547270.63;;;20;;;;0.0;0.0;;False;86.08;;80;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
52;pipe;уз.в к38;уз.в к38;к.38;к.38;439186.23757;439007.41;6542524.47211;6542717.22;;;20;;;;0.0;0.0;;False;64.0;;324;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
53;injection_well;к.23б;к.23б;к.23б__скв.505;к.23б__скв.505;436781.68;436781.68;6545404.95;6545404.95;;;;Q;1.2430555556;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
54;injection_well;к.16;к.16;к.16__скв.439;к.16__скв.439;443200.29;443200.29;6554552.23;6554552.23;;;;Q;1.0729166667;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
55;injection_well;к.1;к.1;к.1__скв.73;к.1__скв.73;439823.23;439823.23;6546342.02;6546342.02;;;;Q;1.0833333333;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;7;;826;1015;66.7
56;pipe;уз.в к17;уз.в к17;к.83;к.83;443750.3;443613.12;6555182.86;6556067.31;;;20;;;;0.0;0.0;;False;71.0;;1574;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
57;injection_well;к.27;к.27;к.27__скв.528;к.27__скв.528;445689.07;445689.07;6551811.93;6551811.93;;;;Q;0;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;;;826;1015;66.7
58;injection_well;к.23б;к.23б;к.23б__скв.480;к.23б__скв.480;436781.68;436781.68;6545404.95;6545404.95;;;;Q;0;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;10;;826;1015;66.7
59;injection_well;к.23б;к.23б;к.23б__скв.493;к.23б__скв.493;436781.68;436781.68;6545404.95;6545404.95;;;;Q;1.6759259259000001;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;6;;826;1015;66.7
60;pipe;уз. в к1;уз. в к1;уз.в к38;уз.в к38;439822.710824675;439186.23757;6546130.66132836;6542524.47211;;;20;;;20;0.0;0.0;0.0;False;84.8;64.0;4211;0.219;0.018000000000000002;;0.46;0.219;1e-05;;;;;;;;;;;;826;1015;66.7
61;injection_well;к.25;к.25;к.25__скв.490;к.25__скв.490;441032.833356061;441032.833356061;6544877.67526717;6544877.67526717;;;;Q;2.2581018519000002;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
62;injection_well;к.4;к.4;к.4__скв.453;к.4__скв.453;440009.875648599;440009.875648599;6551718.3849489;6551718.3849489;;;;Q;3.2777777778;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;10;;826;1015;66.7
63;injection_well;к.83;к.83;к.83__скв.4601н;к.83__скв.4601н;443613.12;443613.12;6556067.31;6556067.31;;;;Q;1.0138888889;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;;;826;1015;66.7
64;injection_well;к.2;к.2;к.2__скв.77;к.2__скв.77;437900.82;437900.82;6547270.63;6547270.63;;;;Q;1.7581018519;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
65;injection_well;к.15;к.15;к.15__скв.202;к.15__скв.202;435896.613793757;435896.613793757;6552994.16387524;6552994.16387524;;;;Q;1.2962962963;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;7;;826;1015;66.7
66;injection_well;к.118;к.118;к.118__скв.683н;к.118__скв.683н;440114.25;440114.25;6554995.97;6554995.97;;;;Q;1.75;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;;;826;1015;66.7
67;pipe;вр.к.14 в/в;вр.к.14 в/в;к.14;к.14;438149.356444797;438151.071975437;6552632.504655;6552802.1551503;;;20;;;;0.0;0.0;;False;82.0;;141;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
68;injection_well;к.83;к.83;к.83__скв.4603н;к.83__скв.4603н;443613.12;443613.12;6556067.31;6556067.31;;;;Q;0;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;;;826;1015;66.7
69;pipe;КНС-1 Тайлаковская;КНС-1 Тайлаковская;уз.2 водовод;уз.2 водовод;441550.236489935;440545.410704217;6546637.55635533;6546661.04329544;P;;20;;;20;1.0;;0.0;False;86.9;82.0;1061;0.273;0.02;;0.46;0.273;1e-05;;;;;;;;;;;;826;1015;66.7
70;injection_well;к.22;к.22;к.22__скв.554;к.22__скв.554;442344.75;442344.75;6547154.86;6547154.86;;;;Q;0;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;;;826;1015;66.7
71;pipe;вр.к.17;вр.к.17;к.17;к.17;445737.09;445738.33;6555111.83;6555101.4;;;20;;;;0.0;0.0;;False;72.2;;6;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
72;injection_well;к.3;к.3;к.3__скв.541;к.3__скв.541;440294.71;440294.71;6548535.3;6548535.3;;;;Q;0.125;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
73;pipe;т.вр. в к3;т.вр. в к3;т.вр. в к4 в/в;т.вр. в к4 в/в;440352.655068217;440289.531121388;6548656.14825052;6551316.96505435;;;20;;;20;0.0;0.0;0.0;False;90.0;91.0;2688;0.273;0.02;;0.46;0.273;1e-05;;;;;;;;;;;;826;1015;66.7
74;injection_well;к.64;к.64;к.64__скв.3827;к.64__скв.3827;436231.931071926;436231.931071926;6542395.83257822;6542395.83257822;;;;Q;3.3483796296;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;7;;826;1015;66.7
