;row_type;node_name_start;node_id_start;node_id_end;node_name_end;X_start;X_end;Y_start;Y_end;startKind;startValue;startT;endKind;endValue;endT;startIsSource;startIsOutlet;endIsSource;endIsOutlet;altitude_start;altitude_end;L;d;s;uphillM;effectiveD;intD;roughness;perforation;pumpDepth;model;frequency;productivity;predict_mode;shtr_debit;K_pump;VolumeWater;choke_diam;Gas_factor_m3_m3;Oildensity_kg_m3;Waterdensity_kg_m3;Formation_pressure_bar
75;injection_well;к.1;к.1;к.1__скв.79;к.1__скв.79;439823.23;439823.23;6546342.02;6546342.02;;;;Q;3.0208333333;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;8;;826;1015;66.7
76;injection_well;к.15;к.15;к.15__скв.206;к.15__скв.206;435896.613793757;435896.613793757;6552994.16387524;6552994.16387524;;;;Q;0.9189814815;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;3;;826;1015;66.7
77;pipe;уз. в к16;уз. в к16;к.16;к.16;443211.74;443200.29;6554521.93;6554552.23;;;20;;;;0.0;0.0;;False;75.0;;112;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
78;pipe;т.вр. в к1;т.вр. в к1;уз.в к23;уз.в к23;438239.288098401;436762.374817286;6546291.66936641;6545527.75246428;;;20;;;20;0.0;0.0;0.0;False;85.3;70.3;1931;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
79;injection_well;к.38;к.38;к.38__скв.446;к.38__скв.446;439007.41;439007.41;6542717.22;6542717.22;;;;Q;2.5925925926;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;3;;826;1015;66.7
80;injection_well;к.12;к.12;к.12__скв.18;к.12__скв.18;437701.59;437701.59;6550241.15;6550241.15;;;;Q;0.8530092593;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;3;;826;1015;66.7
81;injection_well;к.38;к.38;к.38__скв.441;к.38__скв.441;439007.41;439007.41;6542717.22;6542717.22;;;;Q;0.2384259259;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
82;injection_well;к.4;к.4;к.4__скв.9;к.4__скв.9;440009.875648599;440009.875648599;6551718.3849489;6551718.3849489;;;;Q;0.337962963;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
83;pipe;уз.в к17;уз.в к17;вр.к.17;вр.к.17;443750.3;445737.09;6555182.86;6555111.83;;;20;;;20;0.0;0.0;0.0;False;71.0;72.2;2009;0.219;0.018000000000000002;;0.46;0.219;1e-05;;;;;;;;;;;;826;1015;66.7
84;pipe;т.вр.к.95;т.вр.к.95;уз. в к12;уз. в к12;438233.369284347;437713.23539982;6549293.39707852;6550225.12818923;;;20;;;20;0.0;0.0;0.0;False;92.0;96.0;1360;0.219;0.018000000000000002;;0.46;0.219;1e-05;;;;;;;;;;;;826;1015;66.7
85;injection_well;к.122;к.122;к.122__скв.547;к.122__скв.547;442533.76;442533.76;6547346.62;6547346.62;;;;Q;1.6446759259000001;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;6;;826;1015;66.7
86;injection_well;к.2;к.2;к.2__скв.45;к.2__скв.45;437900.82;437900.82;6547270.63;6547270.63;;;;Q;2.099537037;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;8;;826;1015;66.7
87;pipe;КНС-1 (23в);КНС-1 (23в);т.вр. в к22;т.вр. в к22;441520.64;441527.403619115;6546651.03;6547110.1113405;;;20;;;20;0.0;0.0;0.0;False;87.0;84.5;475;0.273;0.02;;0.46;0.273;1e-05;;;;;;;;;;;;826;1015;66.7
88;injection_well;к.2;к.2;к.2__скв.69;к.2__скв.69;437900.82;437900.82;6547270.63;6547270.63;;;;Q;3.7928240741;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;7;;826;1015;66.7
89;injection_well;к.29;к.29;к.29__скв.678;к.29__скв.678;442419.25250814;442419.25250814;6543927.99863549;6543927.99863549;;;;Q;1.1574074074;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
90;injection_well;к.27;к.27;к.27__скв.657;к.27__скв.657;445689.07;445689.07;6551811.93;6551811.93;;;;Q;0;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;;;826;1015;66.7
91;injection_well;к.16;к.16;к.16__скв.427;к.16__скв.427;443200.29;443200.29;6554552.23;6554552.23;;;;Q;0;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;;;826;1015;66.7
92;pipe;т.вр. в к12;т.вр. в к12;т.вр. в к3;т.вр. в к3;440502.560230552;440352.655068217;6548316.5256588;6548656.14825052;;;20;;;20;0.0;0.0;0.0;False;88.4;90.0;395;0.273;0.02;;0.46;0.273;1e-05;;;;;;;;;;;;826;1015;66.7
93;injection_well;к.14;к.14;к.14__скв.1114;к.14__скв.1114;438151.071975437;438151.071975437;6552802.1551503;6552802.1551503;;;;Q;2.1331018519000002;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;5;;826;1015;66.7
94;injection_well;к.2;к.2;к.2__скв.552;к.2__скв.552;437900.82;437900.82;6547270.63;6547270.63;;;;Q;0.2881944444;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
95;injection_well;к.4;к.4;к.4__скв.534;к.4__скв.534;440009.875648599;440009.875648599;6551718.3849489;6551718.3849489;;;;Q;0.7511574074;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
96;injection_well;к.27;к.27;к.27__скв.654;к.27__скв.654;445689.07;445689.07;6551811.93;6551811.93;;;;Q;0.5590277778;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;8;;826;1015;66.7
97;injection_well;к.4;к.4;к.4__скв.17;к.4__скв.17;440009.875648599;440009.875648599;6551718.3849489;6551718.3849489;;;;Q;0;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
98;injection_well;к.4;к.4;к.4__скв.462;к.4__скв.462;440009.875648599;440009.875648599;6551718.3849489;6551718.3849489;;;;Q;0.3715277778;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
99;injection_well;к.12;к.12;к.12__скв.27;к.12__скв.27;437701.59;437701.59;6550241.15;6550241.15;;;;Q;4.4918981481;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;7;;826;1015;66.7
100;pipe;вр.к.14 в/в;вр.к.14 в/в;к.15;к.15;438149.356444797;435896.613793757;6552632.504655;6552994.16387524;;;20;;;;0.0;0.0;;False;82.0;;2448;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
101;pipe;т.вр. в к27, к24;т.вр. в к27, к24;уз. в к27;уз. в к27;442927.825855269;444124.969261252;6553262.22342785;6552687.34763735;;;20;;;20;0.0;0.0;0.0;False;73.6;75.3;1329;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
102;injection_well;к.29;к.29;к.29__скв.647;к.29__скв.647;442419.25250814;442419.25250814;6543927.99863549;6543927.99863549;;;;Q;0;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;;;826;1015;66.7
103;injection_well;к.22;к.22;к.22__скв.622;к.22__скв.622;442344.75;442344.75;6547154.86;6547154.86;;;;Q;0;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;;;826;1015;66.7
104;injection_well;к.4;к.4;к.4__скв.4;к.4__скв.4;440009.875648599;440009.875648599;6551718.3849489;6551718.3849489;;;;Q;2.7002314815;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;6;;826;1015;66.7
105;injection_well;к.64;к.64;к.64__скв.3825;к.64__скв.3825;436231.931071926;436231.931071926;6542395.83257822;6542395.83257822;;;;Q;0;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;;;826;1015;66.7
106;injection_well;к.22;к.22;к.22__скв.544;к.22__скв.544;442344.75;442344.75;6547154.86;6547154.86;;;;Q;1.8472222222;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
107;pipe;т.вр. в к18 в/в;т.вр. в к18 в/в;т.вр. в к16;т.вр. в к16;443258.42;443455.73;6553977.94;6554438.65;;;20;;;20;0.0;0.0;0.0;False;74.2;76.8;500;0.219;0.018000000000000002;;0.46;0.219;1e-05;;;;;;;;;;;;826;1015;66.7
108;injection_well;к.122;к.122;к.122__скв.551;к.122__скв.551;442533.76;442533.76;6547346.62;6547346.62;;;;Q;0.9189814815;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;;;826;1015;66.7
109;injection_well;к.16;к.16;к.16__скв.425;к.16__скв.425;443200.29;443200.29;6554552.23;6554552.23;;;;Q;0;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;;;826;1015;66.7
110;injection_well;к.12;к.12;к.12__скв.599;к.12__скв.599;437701.59;437701.59;6550241.15;6550241.15;;;;Q;2.2523148148;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;7;;826;1015;66.7
111;pipe;уз.в к22;уз.в к22;к.122;к.122;442299.403951071;442533.76;6547104.30362492;6547346.62;;;20;;;;0.0;0.0;;False;86.0;;405.4;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
112;pipe;уз. в к13;уз. в к13;к.13;к.13;442190.044377435;442206.83;6552776.39314528;6552792.71;;;20;;;;0.0;0.0;;False;88.2;;38;0.168;0.014;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
113;injection_well;к.1;к.1;к.1__скв.83;к.1__скв.83;439823.23;439823.23;6546342.02;6546342.02;;;;Q;2.0069444444;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
114;injection_well;к.13;к.13;к.13__скв.445;к.13__скв.445;442206.83;442206.83;6552792.71;6552792.71;;;;Q;0.2731481481;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
115;pipe;КНС-1 (23в);КНС-1 (23в);т.вр. к25;т.вр. к25;441520.64;440901.12;6546651.03;6546589.55;;;20;;;20;0.0;0.0;0.0;False;87.0;79.0;730;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
116;pipe;уз. в к1;уз. в к1;к.1;к.1;439822.710824675;439823.23;6546130.66132836;6546342.02;;;20;;;;0.0;0.0;;False;84.8;;158;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
117;injection_well;к.38;к.38;к.38__скв.429;к.38__скв.429;439007.41;439007.41;6542717.22;6542717.22;;;;Q;0.9872685185000001;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
118;pipe;т.вр. в к1;т.вр. в к1;уз. в к2;уз. в к2;438239.288098401;437727.199963987;6546291.66936641;6547029.40376245;;;20;;;20;0.0;0.0;0.0;False;85.3;83.0;939;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
119;injection_well;к.29;к.29;к.29__скв.638;к.29__скв.638;442419.25250814;442419.25250814;6543927.99863549;6543927.99863549;;;;Q;0.8055555556;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
120;injection_well;к.12;к.12;к.12__скв.30;к.12__скв.30;437701.59;437701.59;6550241.15;6550241.15;;;;Q;0;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;;;826;1015;66.7
121;pipe;т.вр. к25;т.вр. к25;уз.в к28,29;уз.в к28,29;440901.12;442124.367577841;6546589.55;6545406.07956237;;;20;;;20;0.0;0.0;0.0;False;79.0;62.0;2703;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
122;pipe;т.вр. к25;т.вр. к25;к.25;к.25;440901.12;441032.833356061;6546589.55;6544877.67526717;;;20;;;;0.0;0.0;;False;79.0;;2097;0.114;0.011;;0.46;0.114;1e-05;;;;;;;;;;;;826;1015;66.7
123;injection_well;к.1;к.1;к.1__скв.2в;к.1__скв.2в;439823.23;439823.23;6546342.02;6546342.02;;;;Q;7.4861111111;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;;;826;1015;66.7
124;injection_well;к.27;к.27;к.27__скв.516;к.27__скв.516;445689.07;445689.07;6551811.93;6551811.93;;;;Q;0.5972222222;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
125;injection_well;к.23б;к.23б;к.23б__скв.497;к.23б__скв.497;436781.68;436781.68;6545404.95;6545404.95;;;;Q;2.1284722222;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;5;;826;1015;66.7
126;injection_well;к.25;к.25;к.25__скв.636;к.25__скв.636;441032.833356061;441032.833356061;6544877.67526717;6544877.67526717;;;;Q;1.056712963;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;;;826;1015;66.7
127;injection_well;к.4;к.4;к.4__скв.16;к.4__скв.16;440009.875648599;440009.875648599;6551718.3849489;6551718.3849489;;;;Q;0.1875;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
128;injection_well;к.12;к.12;к.12__скв.28;к.12__скв.28;437701.59;437701.59;6550241.15;6550241.15;;;;Q;1.8125;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
129;pipe;т.вр. в к18 в/в;т.вр. в к18 в/в;уз. в к18;уз. в к18;443258.42;440065.86;6553977.94;6554698.07;;;20;;;20;0.0;0.0;0.0;False;74.2;88.0;3456;0.219;0.018000000000000002;;0.46;0.219;1e-05;;;;;;;;;;;;826;1015;66.7
130;injection_well;к.29;к.29;к.29__скв.675;к.29__скв.675;442419.25250814;442419.25250814;6543927.99863549;6543927.99863549;;;;Q;0.025462963;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
131;injection_well;к.2;к.2;к.2__скв.539;к.2__скв.539;437900.82;437900.82;6547270.63;6547270.63;;;;Q;1.4143518519;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
132;injection_well;к.12;к.12;к.12__скв.32;к.12__скв.32;437701.59;437701.59;6550241.15;6550241.15;;;;Q;0.3090277778;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
133;injection_well;к.22;к.22;к.22__скв.550;к.22__скв.550;442344.75;442344.75;6547154.86;6547154.86;;;;Q;0;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;;;826;1015;66.7
134;injection_well;к.23б;к.23б;к.23б__скв.500;к.23б__скв.500;436781.68;436781.68;6545404.95;6545404.95;;;;Q;1.4849537037;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;5;;826;1015;66.7
135;injection_well;к.13;к.13;к.13__скв.456;к.13__скв.456;442206.83;442206.83;6552792.71;6552792.71;;;;Q;1.7233796296000001;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
136;injection_well;к.1;к.1;к.1__скв.63;к.1__скв.63;439823.23;439823.23;6546342.02;6546342.02;;;;Q;1.4212962963;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;5;;826;1015;66.7
137;injection_well;к.38;к.38;к.38__скв.457;к.38__скв.457;439007.41;439007.41;6542717.22;6542717.22;;;;Q;1.1574074074;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
138;injection_well;к.27;к.27;к.27__скв.530;к.27__скв.530;445689.07;445689.07;6551811.93;6551811.93;;;;Q;0.3298611111;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
139;injection_well;к.2;к.2;к.2__скв.481;к.2__скв.481;437900.82;437900.82;6547270.63;6547270.63;;;;Q;3.0972222222;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
140;injection_well;к.2;к.2;к.2__скв.618;к.2__скв.618;437900.82;437900.82;6547270.63;6547270.63;;;;Q;2.9895833333;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;5;;826;1015;66.7
141;injection_well;к.27;к.27;к.27__скв.659;к.27__скв.659;445689.07;445689.07;6551811.93;6551811.93;;;;Q;0;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
142;injection_well;к.29;к.29;к.29__скв.673;к.29__скв.673;442419.25250814;442419.25250814;6543927.99863549;6543927.99863549;;;;Q;1.6342592593;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;5;;826;1015;66.7
143;injection_well;к.30;к.30;к.30__скв.3708излив;к.30__скв.3708излив;446283.29;446283.29;6561199.87;6561199.87;;;;Q;0.1018518519;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;;;826;1015;66.7
144;injection_well;к.13;к.13;к.13__скв.447;к.13__скв.447;442206.83;442206.83;6552792.71;6552792.71;;;;Q;3.0856481481;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;12;;826;1015;66.7
145;pipe;уз.в к38;уз.в к38;к.64;к.64;439186.23757;436231.931071926;6542524.47211;6542395.83257822;;;20;;;;0.0;0.0;;False;64.0;;4001;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
146;injection_well;к.95;к.95;к.95__скв.1973;к.95__скв.1973;435050.401304839;435050.401304839;6549382.47864749;6549382.47864749;;;;Q;1.8298611111;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;5;;826;1015;66.7
147;injection_well;к.27;к.27;к.27__скв.522;к.27__скв.522;445689.07;445689.07;6551811.93;6551811.93;;;;Q;0;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
148;pipe;уз. в к1;уз. в к1;т.вр. в к1;т.вр. в к1;439822.710824675;438239.288098401;6546130.66132836;6546291.66936641;;;20;;;20;0.0;0.0;0.0;False;84.8;85.3;1697;0.219;0.018000000000000002;;0.46;0.219;1e-05;;;;;;;;;;;;826;1015;66.7
149;injection_well;к.25;к.25;к.25__скв.644;к.25__скв.644;441032.833356061;441032.833356061;6544877.67526717;6544877.67526717;;;;Q;0.4537037037;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
150;injection_well;к.12;к.12;к.12__скв.31;к.12__скв.31;437701.59;437701.59;6550241.15;6550241.15;;;;Q;0.599537037;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
151;injection_well;к.23б;к.23б;к.23б__скв.501;к.23б__скв.501;436781.68;436781.68;6545404.95;6545404.95;;;;Q;1.2256944444;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;8;;826;1015;66.7
152;injection_well;к.27;к.27;к.27__скв.656;к.27__скв.656;445689.07;445689.07;6551811.93;6551811.93;;;;Q;0.287037037;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
153;pipe;КНС-1 Тайлаковская;КНС-1 Тайлаковская;уз. в к1;уз. в к1;441550.236489935;439822.710824675;6546637.55635533;6546130.66132836;P;;20;;;20;1.0;;0.0;False;86.9;84.8;2087;0.273;0.02;;0.46;0.273;1e-05;;;;;;;;;;;;826;1015;66.7
154;injection_well;к.27;к.27;к.27__скв.660;к.27__скв.660;445689.07;445689.07;6551811.93;6551811.93;;;;Q;1.1030092593;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
